model,f5Level,state,machineT,f5Rmu,x_lat,y_vert,z_long,dY_fromBase,dZ_fromBase,verticalThrustArm,readyDrive_dZ,aftOfRear,aheadOfFront
F5_SPLIT_50_50,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.278179,-0.976865,0.000250,-0.143000,0.498179,,false,false
F5_SPLIT_50_50,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.278179,-0.976771,0.000250,-0.143000,0.498179,,false,false
F5_SPLIT_50_50,NOMINAL,DRIVE,1,20.0000,0.00000000,1.278179,-1.332365,0.000250,-0.143000,0.498179,-0.355594,false,false
F5_SPLIT_50_50,HIGH,SPREAD,0,30.0000,0.00000000,1.434750,-0.505258,0.000341,-0.195000,0.654750,,false,false
F5_SPLIT_50_50,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.410418,-0.501899,0.000341,-0.195000,0.630418,,false,false
F5_SPLIT_50_50,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.349208,-0.971370,0.000341,-0.195000,0.569208,,false,false
F5_SPLIT_50_50,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.235958,-0.971240,0.000341,-0.195000,0.455958,,false,false
F5_SPLIT_50_50,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.235958,-0.971155,0.000341,-0.195000,0.455958,,false,false
F5_SPLIT_50_50,HIGH,DRIVE,1,30.0000,0.00000000,1.235958,-1.294422,0.000341,-0.195000,0.455958,-0.323267,false,false
F5_SPLIT_75F_25A,LOW,SPREAD,0,12.0000,0.00000000,1.556495,-0.272482,0.000408,0.059348,0.776495,,false,false
F5_SPLIT_75F_25A,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.527401,-0.268466,0.000408,0.059348,0.747401,,false,false
F5_SPLIT_75F_25A,LOW,POST_YAW,0.54,12.0000,0.00000000,1.454217,-0.829791,0.000408,0.059348,0.674217,,false,false
F5_SPLIT_75F_25A,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318809,-0.829635,0.000408,0.059348,0.538809,,false,false
F5_SPLIT_75F_25A,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318809,-0.829533,0.000408,0.059348,0.538809,,false,false
F5_SPLIT_75F_25A,LOW,DRIVE,1,12.0000,0.00000000,1.318809,-1.216048,0.000408,0.059348,0.538809,-0.386515,false,false
F5_SPLIT_75F_25A,NOMINAL,SPREAD,0,20.0000,0.00000000,1.497225,-0.230283,0.000625,0.091000,0.717225,,false,false
F5_SPLIT_75F_25A,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.470459,-0.226589,0.000625,0.091000,0.690459,,false,false
F5_SPLIT_75F_25A,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.403129,-0.743007,0.000625,0.091000,0.623129,,false,false
F5_SPLIT_75F_25A,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.278554,-0.742865,0.000625,0.091000,0.498554,,false,false
F5_SPLIT_75F_25A,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.278554,-0.742771,0.000625,0.091000,0.498554,,false,false
F5_SPLIT_75F_25A,NOMINAL,DRIVE,1,20.0000,0.00000000,1.278554,-1.098365,0.000625,0.091000,0.498554,-0.355594,false,false
F5_SPLIT_75F_25A,HIGH,SPREAD,0,30.0000,0.00000000,1.435261,-0.186167,0.000852,0.124091,0.655261,,false,false
F5_SPLIT_75F_25A,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.410929,-0.182808,0.000852,0.124091,0.630929,,false,false
F5_SPLIT_75F_25A,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.349720,-0.652279,0.000852,0.124091,0.569720,,false,false
F5_SPLIT_75F_25A,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.236470,-0.652150,0.000852,0.124091,0.456470,,false,false
F5_SPLIT_75F_25A,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.236470,-0.652064,0.000852,0.124091,0.456470,,false,false
F5_SPLIT_75F_25A,HIGH,DRIVE,1,30.0000,0.00000000,1.236470,-0.975331,0.000852,0.124091,0.456470,-0.323267,false,false
